Building Address,Building Class,City,Rentable Building Area,State,Year Built,Zip,Submarket,Market
1 World Parkway Cir,B,Berkeley,20000,MO,1989,63134,Airport,Saint Louis - MO
1 Youngridge Dr,C,Union,4500,MO,,630842007,Franklin County,Saint Louis - MO
1-2 Fox Industrial Park,B,Granite City,95689,MO,,62060,Illinois,Saint Louis - MO
1-3 Cermak Blvd,B,Saint Peters,41206,MO,1987,63376,St Charles County,Saint Louis - MO
1-3 International Plaza Ct,C,Saint Ann,14400,MO,1987,630741833,Airport,Saint Louis - MO
1-97 N Produce Row,C,Saint Louis,200000,MO,1953,631021418,St Louis City North,Saint Louis - MO
1-99 E Pitman Ave,B,Wentzville,3650,MO,1860,633851739,St Charles County,Saint Louis - MO
10 Bolte Ln,C,Saint Clair,25000,MO,1989,63077,Franklin County,Saint Louis - MO
10 Cedar St,A,Union,40320,MO,2001,63084,Franklin County,Saint Louis - MO
10 Central Industrial Dr,B,Granite City,21660,MO,1987,620406856,Illinois,Saint Louis - MO
10 Chamber Dr,B,Washington,23000,MO,1988,630905279,Franklin County,Saint Louis - MO
10 Cox Ln,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
10 Cut St,C,Alton,8184,MO,,62002,Illinois,Saint Louis - MO
10 Cut St,C,Alton,12000,MO,,62002,Illinois,Saint Louis - MO
10 Cut St,C,Alton,13000,MO,,62002,Illinois,Saint Louis - MO
10 Farrish Dr,C,Madison,8306,MO,,62060,Illinois,Saint Louis - MO
10 Fox Industrial Park,C,Madison,23680,MO,1928,62060,Illinois,Saint Louis - MO
10 Fox Industrial Park,C,Madison,41400,MO,1928,62060,Illinois,Saint Louis - MO
10 Grandview Park Dr,B,Arnold,10000,MO,,630103903,Jefferson County,Saint Louis - MO
10 Harris Industrial Park,B,Saint Clair,90000,MO,,63077,Franklin County,Saint Louis - MO
10 Lincoln St,C,Kansas City,17000,MO,1971,661031906,Armourdale,Kansas City - MO
10 N Baltimore St,C,Kansas City,3000,MO,1900,66102,Kansas City KS,Kansas City - MO
10 Richards Rd,C,North Kansas City,9000,MO,1931,64116,City of North KC,Kansas City - MO
10 S Corporate Hills Dr,B,Saint Charles,35000,MO,1999,63301,St Charles County,Saint Louis - MO
10 SE 16th St,C,Lees Summit,7200,MO,1960,640813115,"Lee's Summit",Kansas City - MO
10 SW Industrial Dr,C,Lees Summit,5200,MO,1980,640813108,"Lee's Summit",Kansas City - MO
10 Tucker Dr,C,Caseyville,11000,MO,1986,622322328,Illinois,Saint Louis - MO
10 W Industrial Dr,C,"O'Fallon",6600,MO,1997,633661926,St Charles County,Saint Louis - MO
10-01-400-010,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-10-400-033,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-13-100-005,,Strafford,,MO,,65757,Webster County,Springfield  - MO
10-16-100-012,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-17-100-066,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-18-100-004,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-27-200-009,,Springfield,,MO,,65807,Southwest,Springfield  - MO
10-31-400-011,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-32-200-016,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-32-300-010,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-34-301-067,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
10-36-100-023,,Strafford,,MO,,65757,Outlying Greene County,Springfield  - MO
100 Arc Dr,C,Saint Louis,4726,MO,,63146,Westport,Saint Louis - MO
100 Bent Oak Ct,C,Lake Saint Louis,7000,MO,2000,633671454,St Charles County,Saint Louis - MO
100 Didion Rd,C,Saint Peters,12000,MO,2003,63376,St Charles County,Saint Louis - MO
100 E 14th Ave,C,North Kansas City,65000,MO,1945,641163902,City of North KC,Kansas City - MO
100 E Washington St,B,Millstadt,30000,MO,,622601224,Illinois,Saint Louis - MO
100 Glassey Rd,C,Cuba,4200,MO,1978,65453,Crawford County,Saint Louis - MO
100 Grand Blvd,C,Kansas City,11564,MO,,641061083,Downtown KC,Kansas City - MO
100 Green Park Industrial Ct,B,Affton,10800,MO,2004,63123,South County,Saint Louis - MO
100 Hawning Rd,C,Saint Charles,6985,MO,1979,633010282,St Charles County,Saint Louis - MO
100 Industrial Dr,C,Festus,43995,MO,,630284132,Jefferson County,Saint Louis - MO
100 Integram Dr,B,Pacific,209279,MO,,630693476,Franklin County,Saint Louis - MO
100 Lake Front Pky,A,Edwardsville,55000,MO,2005,620252900,Illinois,Saint Louis - MO
100 Larkin Williams Ind. Ct,B,Fenton,41285,MO,1980,630262409,Fenton,Saint Louis - MO
100 Manufacturers Dr,B,Arnold,65000,MO,,630104727,Jefferson County,Saint Louis - MO
100 Marion St,B,Saint Louis,9000,MO,1989,63104,St Louis City South,Saint Louis - MO
100 Mott St,C,Saint Louis,113300,MO,1924,631112862,St Louis City South,Saint Louis - MO
100 N 24th St,B,Belleville,140000,MO,,622266659,Illinois,Saint Louis - MO
100 N Broadway St,C,Oak Grove,23063,MO,1972,640759205,Blue Springs,Kansas City - MO
100 N Platte Clay Way,B,Kearney,11500,MO,,640607713,Northeast Clay County,Kansas City - MO
100 S James St,C,Kansas City,7500,MO,1940,66118,Armourdale,Kansas City - MO
100 S Paniplus Dr,B,Olathe,95000,MO,,660619406,Olathe,Kansas City - MO
100 S Stringtown Rd,B,Wright City,104000,MO,2016,63390,Warren County,Saint Louis - MO
100 S Truman Blvd,C,Crystal City,15000,MO,1999,63019,Jefferson County,Saint Louis - MO
100 SE 30th St,B,Lees Summit,5250,MO,2007,64082,"Lee's Summit",Kansas City - MO
100 SE Stuart Rd,,Lees Summit,,MO,,64082,"Lee's Summit",Kansas City - MO
100 SE Stuart Rd,,Lees Summit,,MO,,64082,"Lee's Summit",Kansas City - MO
100 SW South Ave,B,Blue Springs,120000,MO,1962,640143034,Blue Springs,Kansas City - MO
100 W 9th Ave,B,North Kansas City,75517,MO,1970,64116,City of North KC,Kansas City - MO
100 W Nichols St,C,Spring Hill,5377,MO,1977,66083,Olathe,Kansas City - MO
100 Westgate Business Ct,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
100-108 Crafton Dr,C,"O'Fallon",12600,MO,1988,63366,St Charles County,Saint Louis - MO
100-116 NW Plaza Dr,B,Riverside,75000,MO,1997,641509556,Riverside/Parkville,Kansas City - MO
100-220 Kindelberger Rd,A,Kansas City,840000,MO,2017,66115,Central KC KS/Fairfax,Kansas City - MO
1000 Biltmore Dr,B,Fenton,84437,MO,1984,630264662,Jefferson County,Saint Louis - MO
1000 E 11th St,B,Kansas City,26000,MO,1985,641063054,Downtown KC,Kansas City - MO
1000 E Santa Fe St,B,Gardner,3600,MO,1985,66030,Olathe,Kansas City - MO
1000 E Santa Fe St,C,Gardner,864,MO,1985,66030,Olathe,Kansas City - MO
1000 Independence Dr,B,Sullivan,100000,MO,2000,630802845,Crawford County,Saint Louis - MO
1000 Independence Rd,C,Sullivan,100000,MO,1999,63080,Crawford County,Saint Louis - MO
1000 Mill St,C,Kansas City,5345,MO,1985,66105,Armourdale,Kansas City - MO
1000 N 14th St,C,Saint Louis,35000,MO,1971,631063827,St Louis City North,Saint Louis - MO
1000 N Pearl St,C,Paola,2700,MO,1980,66071,Outer South Kansas City,Kansas City - MO
1000 N Sterling Ave,C,Sugar Creek,28000,MO,1960,64054,Independence,Kansas City - MO
1000 Premier Pky,A,Saint Charles,299830,MO,2017,63301,St Charles County,Saint Louis - MO
1000 W 8th St,F,Kansas City,12000,MO,1930,641011208,Downtown KC,Kansas City - MO
1000 W Homer M Adams Pky,C,Godfrey,34379,MO,1958,62035,Illinois,Saint Louis - MO
1000 W Hunters Rdg,B,Lees Summit,25000,MO,2008,640868419,"Lee's Summit",Kansas City - MO
1000-1010 N Century Dr,B,Kansas City,133400,MO,1988,641201903,Executive Park,Kansas City - MO
1000-1012 Chouteau Ave,C,Saint Louis,57000,MO,1958,63102,St Louis City South,Saint Louis - MO
1000-1100 Integram Dr,B,Pacific,251181,MO,,630693450,Franklin County,Saint Louis - MO
10000 Marshall Dr,C,Lenexa,24000,MO,1967,662151244,Lenexa,Kansas City - MO
10001-10021 W 75th St,C,Overland Park,37640,MO,1967,662042220,Lenexa,Kansas City - MO
10005 E 47th St,C,Kansas City,3040,MO,1970,64133,Raytown/Lakewood,Kansas City - MO
1001 Bedford Rd,B,North Kansas City,80000,MO,1920,641164115,City of North KC,Kansas City - MO
1001 Chargene,B,Saint Charles,1211,MO,1950,633012502,St Charles County,Saint Louis - MO
1001 Cleveland Ave,B,Kansas City,3826,MO,1940,64127,East Bottoms KC,Kansas City - MO
1001 E Park St,C,Olathe,3412,MO,1973,66061,Olathe,Kansas City - MO
1001 Industrial Dr,C,Pleasant Hill,4800,MO,1999,64080,Cass County,Kansas City - MO
1001 NW Vesper St,C,Blue Springs,6336,MO,1978,640153667,Blue Springs,Kansas City - MO
1001 Ravens Nest Ave,C,Nixa,10000,MO,2004,65714,West Christian County,Springfield  - MO
1001 S 10th St,B,Saint Louis,36000,MO,1979,63104,St Louis City South,Saint Louis - MO
1001 S Brown St,C,Liberty,40200,MO,1960,640682259,Liberty,Kansas City - MO
1001 W 8th St,C,Kansas City,9417,MO,1900,64101,Downtown KC,Kansas City - MO
1001-1005 Hardesty,C,Kansas City,5000,MO,1950,641271801,East Bottoms KC,Kansas City - MO
1001-1011 Hanley Industrial Ct,B,Saint Louis,30000,MO,1969,63144,Hanley,Saint Louis - MO
1001-1019 S Grand Ave,C,Saint Louis,306644,MO,1915,631041012,St Louis City South,Saint Louis - MO
1002 Industrial Dr,B,Pleasant Hill,4300,MO,,640809551,Cass County,Kansas City - MO
1003 Majestic Dr,B,Fenton,9878,MO,2009,63026,West County,Saint Louis - MO
1003 Monroe Ave,C,Kansas City,12874,MO,1960,64120,East Bottoms KC,Kansas City - MO
1003-1005 E Santa Fe St,C,Olathe,4747,MO,,66061,Olathe,Kansas City - MO
10033 Fuesser Rd,B,Mascoutah,6000,MO,2010,62258,Illinois,Saint Louis - MO
1004 Industrial Dr,B,Pleasant Hill,8000,MO,1990,64080,Cass County,Kansas City - MO
1004 Liberty Industrial Dr,A,"O'Fallon",27300,MO,2006,63366,St Charles County,Saint Louis - MO
1004 S 25th St,C,Kansas City,665,MO,,66106,Turner,Kansas City - MO
1004 W 104th St,C,Kansas City,5044,MO,,64114,South KC,Kansas City - MO
1004-1010 Swift Ave,C,North Kansas City,10000,MO,1945,641164128,City of North KC,Kansas City - MO
1005 Miller St,C,Saint Clair,11200,MO,1994,63077,Franklin County,Saint Louis - MO
1005 N Eldon Ave,,Springfield,,MO,,65803,Northwest,Springfield  - MO
1005 N Pearl St,,Paola,5665,MO,,660711170,Outer South Kansas City,Kansas City - MO
1005 SE Browning Ave,C,Lees Summit,14291,MO,1966,640812922,"Lee's Summit",Kansas City - MO
1005 W 8th St,C,Kansas City,5000,MO,,64101,Downtown KC,Kansas City - MO
1006 E 5th St,C,Kansas City,2645,MO,1900,64106,Downtown KC,Kansas City - MO
1006 W 24th St,C,Kansas City,1965,MO,,64108,Downtown KC,Kansas City - MO
1007 Lydia Ave,C,Kansas City,6840,MO,1970,641063254,Downtown KC,Kansas City - MO
1007 S 25th St,C,Kansas City,1000,MO,1955,661061268,Turner,Kansas City - MO
1007 Swift St,C,Kansas City,4831,MO,,64116,City of North KC,Kansas City - MO
10073 Ellis Rd,C,Saint Jacob,67769,MO,1969,62281,Illinois,Saint Louis - MO
1008 Bittersweet Ct,C,Nixa,7200,MO,1996,65714,West Christian County,Springfield  - MO
1008 Lofting Industrial,C,Saint Clair,2500,MO,2002,63077,Franklin County,Saint Louis - MO
1008 W 39th St,C,Kansas City,2035,MO,1984,64111,Midtown,Kansas City - MO
1008-1010 N Pearl St,C,Paola,8484,MO,,660711142,Outer South Kansas City,Kansas City - MO
1009 Falcon Crest Ct,C,Nixa,2250,MO,1999,65714,West Christian County,Springfield  - MO
1009 Hawks Perch St,C,Nixa,13800,MO,,65714,West Christian County,Springfield  - MO
1009 Kenneth St,C,Nixa,4700,MO,1985,65714,West Christian County,Springfield  - MO
1009 Linnco Dr,B,Lacygne,50000,MO,2002,660408128,Outer South Kansas City,Kansas City - MO
1009 S Broadway,C,Saint Louis,10000,MO,1950,63104,St Louis City South,Saint Louis - MO
1009 W 17th St,C,Kansas City,4225,MO,1926,64108,Downtown KC,Kansas City - MO
101 1st Ave,C,Edwardsville,9410,MO,,62025,Illinois,Saint Louis - MO
101 1st St,B,Smithville,146586,MO,,64089,Northeast Clay County,Kansas City - MO
101 Arco Dr,C,Saint Charles,24240,MO,1998,633033043,St Charles County,Saint Louis - MO
101 Davis Rd,B,Concordia,74000,MO,1997,64020,Lafayette County,Kansas City - MO
101 E 12th Ave,B,North Kansas City,20000,MO,1945,641164138,City of North KC,Kansas City - MO
101 E Monroe St,C,Saint Louis,15000,MO,1910,63102,St Louis City North,Saint Louis - MO
101 E Wall,C,Mulberry Grove,2350,MO,,62262,Bond County,Saint Louis - MO
101 Farmer Rd,,Willard,,MO,,657818166,Outlying Greene County,Springfield  - MO
101 Holmes St,B,Kansas City,25510,MO,,64106,Downtown KC,Kansas City - MO
101 Industrial Dr,C,Belleville,37669,MO,2002,622203412,Illinois,Saint Louis - MO
101 Kindleberger Rd,B,Kansas City,113650,MO,1953,66101,Central KC KS/Fairfax,Kansas City - MO
101 Lewis Dr,B,Paola,9100,MO,1996,660711149,Outer South Kansas City,Kansas City - MO
101 Logistics Center Dr,B,Wentzville,56694,MO,2016,633853138,St Charles County,Saint Louis - MO
101 MGM Ct,B,Moscow Mills,4000,MO,,63362,Lincoln County,Saint Louis - MO
101 Main St,C,Platte City,7350,MO,1950,64079,Airport/N Platte Co,Kansas City - MO
101 N 2nd St,C,Garden City,2800,MO,2002,64747,Cass County,Kansas City - MO
101 N Belmont Blvd,B,Kansas City,242120,MO,1965,641231909,East Bottoms KC,Kansas City - MO
101 N Church St,B,Olathe,3580,MO,2001,660613768,Olathe,Kansas City - MO
101 New Century Pky,B,New Century,52794,MO,1980,66031,Olathe,Kansas City - MO
101 Prairie Village Dr,B,Gardner,186861,MO,,66030,Olathe,Kansas City - MO
101 Resource Dr,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
101 Skinner Industrial Dr,B,Saint Charles,35000,MO,2001,633014348,St Charles County,Saint Louis - MO
101 Sun Valley Cir,C,Fenton,17500,MO,,63026,Jefferson County,Saint Louis - MO
101 Sunshine Rd,C,Kansas City,25000,MO,1951,661151313,Central KC KS/Fairfax,Kansas City - MO
101 Workman Ct,A,Eureka,220000,MO,2007,63025,West County,Saint Louis - MO
101-107 Ferry St,C,Saint Louis,110000,MO,1940,631473314,St Louis City North,Saint Louis - MO
101-119 Cass Ave,C,Saint Louis,72000,MO,1901,631022306,St Louis City North,Saint Louis - MO
101-137 Bremen Ave,C,Saint Louis,10000,MO,1912,631473408,St Louis City North,Saint Louis - MO
1010 Merriam Ln,C,Kansas City,7500,MO,1948,661031650,Armourdale,Kansas City - MO
1010 N 2nd St,C,Kansas City,22588,MO,,66101,Central KC KS/Fairfax,Kansas City - MO
1010 N 54th St,C,Kansas City,3391,MO,1925,66102,Kansas City KS,Kansas City - MO
1010 N Cynthia Dr,B,Nixa,10000,MO,,65714,West Christian County,Springfield  - MO
1010 Robin Ln,C,Nixa,2400,MO,1989,65714,West Christian County,Springfield  - MO
1010 W 24th St,C,Kansas City,3235,MO,,64108,Downtown KC,Kansas City - MO
10101 E 65th St,C,Raytown,23000,MO,1950,641335202,Raytown/Lakewood,Kansas City - MO
1011 E 23rd St,F,Kansas City,16000,MO,1985,641163358,Sports Complex,Kansas City - MO
1011 East Park Industrial Dr,C,University City,21207,MO,1972,631302641,Innerbelt E of 170,Saint Louis - MO
1011 Industrial Ct,A,Moscow Mills,30000,MO,1998,63362,Lincoln County,Saint Louis - MO
